Date and Time Downloaded : 05/04/2021 04:31:14 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000903","903","SANTANDER RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","SANTANDER","072245000","POBLACION","072245008","6026"," "," "," "," "," "," ","JULHANI","ALMID","T.","Municipal Health Officer","","",""
"DOH000000000001388","1388","CORTES RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","CORTES","071216000","POBLACION","071216010","6341","","","","rhucortes6341@yahoo.com","","","BATINGAL","MARIA LOUELLA","M.","Municipal Health Officer","","",""
"DOH000000000001391","1391","SIATON RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","PROGRESSO STREET","","REGION VII (CENTRAL VISAYAS)","070000000","NEGROS ORIENTAL","074600000","SIATON","074619000","POBLACION I","074619018","6219","","","","","","","NUICO","VICTOR","OJEDA","Municipal Health Officer","","",""
"DOH000000000001399","1399","ALCANTARA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","ALCANTARA","072201000","POBLACION","072201007","6033","+63 325161332"," "," ","j_tanduyan@yahoo.com"," "," ","TANDUYAN","JONATHAN","COLLO","Municipal Health Officer","","",""
"DOH000000000001401","1401","DUMAGUETE CITY HEALTH OFFICE"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","COLON STREET"," ","REGION VII (CENTRAL VISAYAS)","180000000","NEGROS ORIENTAL","184600000","DUMAGUETE CITY (Capital)","184610000","POBLACION NO. 4 (BARANGAY 4)","184610022","6200","+63 352252535"," ","+63 354228115"," "," "," ","TALLA","MARIA SARAH","BUENAFE","City Health Officer","","",""
"DOH000000000001437","1437","ALCOY RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","ALCOY","072202000","POBLACION","072202006","6023","+63 324839186"," ","+63 324839183"," "," "," ","LARIOSA","CHARISSE","B.","Municipal Health Officer","","",""
"DOH000000000001438","1438","LILOAN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","LILOAN","072227000","POBLACION","072227008","6002","+63 324243108"," "," "," "," "," ","DELA CUESTA","FRANCISCO"," ","Municipal Health Officer","","",""
"DOH000000000001439","1439","PORO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","PORO","072238000","EASTERN POBLACION","072238006","6049","+63 324975654"," ","+63 324975654"," "," "," ","HUETE","MABEL","E.","Municipal Health Officer","","",""
"DOH000000000001440","1440","PAMPLONA RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","NEGROS ORIENTAL","074600000","PAMPLONA","074616000","POBLACION","074616012","6205","","","","pamplonarhu2016@yahoo.com.ph","pamplona.rural.health.unit@gmail.com","","CATACUTAN","BETH NEMIAJOY","GARA","Municipal Health Officer","","",""
"DOH000000000001448","1448","ASTURIAS RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","ASTURIAS","072206000","POBLACION","072206018","6042","+63 324649042"," ","+63 324649042","rhu_asturias@yahoo.com"," "," ","CLIMACO","RESALDE","N.","Municipal Health Officer","","",""
"DOH000000000001450","1450","BARILI RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","BARILI","072210000","POBLACION","072210038","6036","+63 324709008"," "," ","lgubarili@rocketmail.com"," "," ","RECTO","MICHELLE ANN","GUTANG","Municipal Health Officer","","",""
"DOH000000000001451","1451","DALAGUETE RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","DALAGUETE","072222000","MANTALONGON","072222024","6022"," "," "," "," "," "," ","CAMINADE","REINA RUBY","T.","Municipal Health Officer","","",""
"DOH000000000001454","1454","BARILI RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","BARILI","072210000","POBLACION","072210038","6036","+63 324709007"," ","+63 324709055","lgubarili@rocketmail.com"," "," ","BAJARIAS","MARY JOY","BUENAVISTA","Municipal Health Officer","","",""
"DOH000000000001457","1457","BALAMBAN RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","BALAMBAN","072208000","BUANOY","072208006","6041"," "," ","+63 323332728"," "," "," ","LAPE","JENINA","S.","Municipal Health Officer","","",""
"DOH000000000001458","1458","BORBON RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","BORBON","072213000","POBLACION","072213015","6008","+63 324328995","","+63 324328010","borbonmho@yahoo.com","","","DOTILLOS","CORAZON","VILLAREAL","Municipal Health Officer","","",""
"DOH000000000001459","1459","TUBURAN RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","TUBURAN","072252000","MANGGA","072252035","6043"," "," "," "," "," "," ","FAUNILLAN","CARMINA GEMMA","C.","Municipal Health Officer","","",""
"DOH000000000001460","1460","VICENTE MENDIOLA CENTER FOR HEALTH","NAGA CITY HEALTH OFFICE","NAGA RURAL HEALTH UNIT I","","City Health Office","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","CITY OF NAGA","072234000","EAST POBLACION","072234009","6037","+63 324894939","","+63 322726651","","","","VILLAMOR","REGIL KENT","LAO","City Health Officer","","",""
"DOH000000000001461","1461","TUDELA RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","TUDELA","072253000","SOUTHERN POBLACION","072253010","6051","","","","","","","NAGSUBAN","LEAH GEMMA","","Rural Health Midwife","","",""
"DOH000000000001465","1465","MINGLANILLA RURAL HEALTH UNIT I","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","MINGLANILLA","072232000","POBLACION WARD IV","072232013","6046","+63 324904881","","","","","","DAMAZO","JONAH MAJA","T.","Municipal Health Officer","","",""
"DOH000000000001490","1490","PANGLAO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","PANGLAO","071233000","POBLACION","071233008","6340","+63 385028500"," "," ","panglao_rhu@yahoo.com"," "," ","COGO","JULITA","L.","Municipal Health Officer","","",""
"DOH000000000001491","1491","DANAO CITY HEALTH OFFICE","","","","Rural Health Unit","Government","Local Government Unit","","NATIONAL ROAD","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","DANAO CITY","072223000","POBLACION","072223031","6004","+63 322003327","","+63 322003311","","","","PIEDAD, JR.","PUBLIO","V.","City Health Officer","","",""
"DOH000000000001492","1492","BAYAWAN CITY HEALTH OFFICE"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","180000000","NEGROS ORIENTAL","184600000","CITY OF BAYAWAN (TULONG)","184606000",""," ","6221","+63 355310020"," "," ","josecho_iii@yahoo.com"," "," ","TIGBAO","JENNYJUNE","B.","City Health Officer","","",""
"DOH000000000001494","1494","MANDAUE CITY HEALTH OFFICE","","","","Rural Health Unit","Government","Local Government Unit","","SOTERO BARTE CABAHUG STREET","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","MANDAUE CITY","072230000","CENTRO (POB.)","072230010","6014","+63 323460110","","","mandauecityhealth@gmail.com","","","SENO","EDNA","R.","City Health Officer","","",""
"DOH000000000001496","1496","ARGAO RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","ARGAO","072205000","LAMACAN","072205025","6021","+63 323677331"," ","+63 323677331"," "," "," ","BAJENTING","ABIGAIL CHARICE","P.","Municipal Health Officer","","",""
"DOH000000000001499","1499","BALAMBAN RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","BALAMBAN","072208000","BALIWAGAN (POB.)","072208027","6041","+63 323332190 (LOC 118)"," ","+63 323332728"," "," "," ","LAPE","JENINA","S.","Municipal Health Officer","","",""
"DOH000000000001580","1580","TALAMBAN HEALTH CENTER","","","","Barangay Health Station","Government","Local Government Unit","","TALAMBAN ROAD","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","CEBU CITY (Capital)","072217000","TALAMBAN","072217081","6000","+63 324180455","","","","","","","","","","","",""
"DOH000000000001662","1662","AMIO COMMUNITY PRIMARY HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","NEGROS ORIENTAL","074600000","SANTA CATALINA","074618000","AMIO","074618002","6220","","","","amiocommunityprimaryhospital@yahoo.com","","","NUIQUE","DELWIN","A.","Municipal Health Officer","With License","","10"
"DOH000000000001666","1666","INAPOY COMMUNITY PRIMARY HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","NEGROS ORIENTAL","074600000","MABINAY","074614000","INAPOY","074614018","6207","","","","icph_negros97@yahoo.com","","","RADA","PEARL ANGELIE","T.","Chief of Hospital","With License","","10"
"DOH000000000001667","1667","PRESIDENT CARLOS P. GARCIA MUNICIPAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","PRES. CARLOS P. GARCIA (PITOGO)","071235000","POBLACION","071235014","6346","","","","pgmhpitogo@yahoo.com","pcpgmh1992@gmail.com","","VALDEZ","GRACE","N.","Chief of Hospital","With License","","10"
"DOH000000000001669","1669","MARIANO JESUS CUENCO MEMORIAL HOSPITAL","MALABUYOC DISTRICT HOSPITAL","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","MALABUYOC","072229000","BARANGAY II (POB.)","072229016","6029","+63 324778883","","+63 324778883","mjcuencomemhosp@yahoo.com","","","CAPATE","FRANCIS KIM","G.","Chief of Hospital","With License","","25"
"DOH000000000001671","1671","ISIDRO KINTANAR MEMORIAL HOSPITAL","ISIDRO C. KINTANAR MEMORIAL HOSPITAL","","","Hospital","Government","Local Government Unit","","JOSE P. RIZAL STREET","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","ARGAO","072205000","POBLACION","072205035","6021","+63 324858599","+63 324856506","","isidrockmh2017@gmail.com","","","FAMILGAN","EVELYN","Y.","Chief of Hospital","With License","Level 1","25"
"DOH000000000001685","1685","CARMEN COPPER CORPORATION HOSPITAL","","","","Hospital","Private","","","","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","TOLEDO CITY","072251000","DON ANDRES SORIANO (LUTOPAN)","072251016","6038","+63 323252759","","","","","","GIGANTE","MARIA ELEANOR","P.","Chief of Hospital","With License","Level 1",""
"DOH000000000001687","1687","BORJA FAMILY HOSPITAL CORPORATION","BORJA FAMILY CLINIC","","","Hospital","Private","","","19 GALLARES STREET","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","TAGBILARAN CITY (Capital)","071242000","POBLACION I","071242010","6300","+63 384113303","+63 38 5019128","+63 385019128","borja_hospital@yahoo.co","info@borjahospital.com","www.borjahospital.com","BORJA","MELINDA","R.","Chief of Hospital","With License","Level 1","40"
"DOH000000000001689","1689","ADVENTIST HOSPITAL - CEBU, INC.","H.W. MILLER MEMORIAL SANITARIUM AND HOSPITAL","","","Hospital","Private","","","400 TRES DE ABRIL STREET","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","CEBU CITY (Capital)","072217000","SAN NICOLAS CENTRAL","072217068","6000","+63 322612100","","+63 322612111","adventisthospitalcebu@gmail.com","www.adventisthospitalcebu.org","","PEPITO","EVELYN","S.","Chief of Hospital","With License","Level 2","100"
"DOH000000000001690","1690","CONCEPCION MEMORIAL HOSPITAL","LEONA O. LIM MEMORIAL HOSPITAL","","","Hospital","Private","","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","VALENCIA","071247000","CANMANICO","071247011","6306","+63 385321252","","","leonaolim@gmail.com","","","GAN","MARIA ASUNCION GILDA CRISTINA","LIM","Medical Director","With License","Level 1","40"
"DOH000000000001810","1810","SAN MIGUEL HOSPITAL","SAN MIGUEL INFIRMARY","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","SAN MIGUEL","071238000","POBLACION","071238014","6323","","","","sanmiguelhosp2009@yahoo.com.ph","","","ABELLAR","EDUARDO","G.","Chief of Hospital","With License","","10"
"DOH000000000023612","23612","MARIA JOSEFA RECIO THERAPEUTIC CENTER, INC"," "," "," ","Hospital","Private"," ","Foundation","KAUSWAGAN ROAD"," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","CEBU CITY (Capital)","072217000","SAN JOSE","072217067","6000","+63 323469743"," ","+63 323455470","josefa_hospitaller_foundation@yahoo.com"," "," ","ELISEO","GRESALIE","R","Other","Without License","",""
"DOH000000000001831","1831","BINDOY RURAL HEALTH UNIT","PAYABON RURAL HEALTH UNIT","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","NEGROS ORIENTAL","074600000","BINDOY (PAYABON)","074607000","POBLACION (PAYABON)","074607018","6209","+63 354003180","","","rhu_bindoy@yahoo.com","","","TUSE","ESTELA","BALDADO","Municipal Health Officer","","",""
"DOH000000000001864","1864","CLARIN COMMUNITY HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","CLARIN","071214000","POBLACION NORTE","071214019","6330","+63 385099071","+63 385090025","+63 385099071","community.clarin@yahoo.com","","","MANALO","NOEL","G.","Chief of Hospital","With License","","15"
