Date and Time Downloaded : 05/04/2021 04:29:42 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000446","446","CHINESE GENERAL HOSPITAL AND MEDICAL CENTER","","","","Hospital","Private","","","286 BLUMENTRITT STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SANTA CRUZ","133905000","BARANGAY 372","133905075","1003","+63 027114141","+63 027114151","+63 027318252","cghmedicaldirector@yahoo.com","chgmedicaldirector@cghmc.com.ph","","LLAMAS","MODESTO","O.","Medical Director","With License","Level 3","592"
"DOH000000000000447","447","CHRIST THE KING MEDICAL CENTER UNIHEALTH LAS PIÑAS, INC.","CHRIST THE KING GENERAL HOSPITAL","CHRIST THE KING MATERNITY & LYING-IN HOSP., INC","","Hospital","Private","","","130 REAL STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","PAMPLONA UNO","137601006","","+63 028731119","+63 028735549","+63 028724279","ctkgeneralhospital@yahoo.com.ph","christthekingmedicalcenter@gmail.com","","CARABEO","ARLENE","BESA","Medical Director","With License","Level 1","20"
"DOH000000000000462","462","CRUZ-DALIDA MATERNITY HOSPITAL, INC.","","","","Infirmary","Private","","","1025 F. SALVADOR, JORDAN PLAINS","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","SANTA MONICA","137404106","","+63 0284174080","+63 0283521849","+63 029366135","","","","CRUZ-DAYLO","MICHELLE","","Medical Director","With License","",""
"DOH000000000000469","469","DE OCAMPO MEMORIAL MEDICAL CENTER","","","","Hospital","Private","","","2921 NAGTAHAN STREET SANTA MESA","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","CITY OF MANILA","133900000","","","","+63 027151891","+63 027151892","+63 027150967","deocampomemorialcollege@ymail.com","","","LANTIN","MARIA VICTORIA","","Medical Director","With License","Level 1","20"
"DOH000000000000493","493","DR. FE DEL MUNDO MEDICAL CENTER","DR. FE DEL MUNDO CENTER FOUNDATIONS PHILS., INC.","","","Hospital","Private","","","11 BANAWE STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","DOÑA JOSEFA","137404032","","+63 027120845","","+63 027125796","mmedcon2003@yahoo.com","mlboon@fedelmundo.com.ph","","LOCSON","ELSIE LYNN","BARONIA","Medical Director","With License","Level 3","107"
"DOH000000000000496","496","DR. JESUS C. DELGADO MEMORIAL HOSPITAL","","","","Hospital","Private","","","7 KAMUNING ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","KAMUNING","137404048","","+63 029244051","+63 029252991","+63 029285945","jdmh@skyinet.net","jdmh@pldtdsl.net","","BALBURIAS","ROLANDO","A.","Medical Director","With License","Level 2","65"
"DOH000000000000499","499","DR. JOSE FABELLA MEMORIAL HOSPITAL","","","","Hospital","Government","Department Of Health","","LOPE DE VEGA STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SANTA CRUZ","133905000","BARANGAY 311","133905013","1003","+63 027345561","+63 023146009","+63 027357146","JFMH@DOH.GOV.PH","","","ILEM","ESMERALDO","T.","Chief of Hospital","With License","Level 3","700"
"DOH000000000000502","502","DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL","","","","Hospital","Government","Department Of Health","","DR. UYGUANCO STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CALOOCAN CITY","137501000","BARANGAY 188","137501188","","+63 022942571","+63 029629885","+63 029628209","djnrmh2003@yahoo.com","","","FAMARAN","ALFONSO VICTORINO, JR.","H.","Chief of Hospital","With License","Level 3","200"
"DOH000000000000508","508","DR. MONTANO G. RAMOS GENERAL HOSPITAL CORPORATION","DR. MONTANO G. RAMOS HOSPITAL","","","Hospital","Private","","","46 BUKIDNON STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","RAMON MAGSAYSAY","137404089","","+63 029276628","+63 024531377","+63 024532453","montano.ramos@yahoo.com.ph","","","RAMOS","CARIDAD","R.","Medical Director","With License","Level 1","25"
"DOH000000000000519","519","DR. SABILI HEALTH SERVICES CORPORATION","","","","Hospital","Private","","","313 GENERAL SANTOS AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","TAGUIG CITY","137607000","LOWER BICUTAN","137607008","","+63 028370917","","+63 028375954","sabilihospital@yahoo.com","","","SABILI","JOSE","A.","Chief of Hospital","With License","Level 1","40"
"DOH000000000000523","523","VRP MEDICAL CENTER","POLYMEDIC MEDICAL CENTER","DR. VICTOR R. POTENCIANO MEDICAL CENTER","","Hospital","Private","","","163 EDSA","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF MANDALUYONG","137401000","HIGHWAY HILLS","137401013","","+63 024649999","","+63 025321764","hrd@vrp.com.ph","","","JAVIER","AILEEN","RIEGO","Chief of Hospital","With License","Level 3","178"
"DOH000000000000533","533","PROTACIO HOSPITAL","D.T. PROTACIO HOSPITAL","","","Hospital","Private","","","484 QUIRINO AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","TAMBO","137604006","","+63 028522953","","+63 028531809","inquiries@protaciohospital.com","","","HERMAN","GAVINO GINO ROBERTINO","P.","Medical Director","With License","Level 1","20"
"DOH000000000000540","540","EAST AVENUE MEDICAL CENTER","","","","Hospital","Government","Department Of Health","","EAST AVENUE, DILIMAN","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","CENTRAL","137404020","","+63 029280611","+63 029292031","+63 029220195","eamc.info@gmail.com","","","BUENO","EMMANUEL","M.","Medical Director","With License","Level 3","600"
"DOH000000000000546","546","FAIRVIEW GENERAL HOSPITAL, INC.","","","","Hospital","Private","","","LOT 20 FAIRVIEW AVENUE, CORNER MERCURY STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","FAIRVIEW","137404041","","+63 0289399689","+63 0289398764","+63 029384796","fghjarin@yahoo.com","","","JARIN","HERMOGENES","D.","Medical Director","With License","Level 1","30"
"DOH000000000000550","550","GEN. MIGUEL MALVAR MEDICAL RESEARCH FOUNDATION, INC.","GEN. MIGUEL M. MALVAR MEDICAL FOUNDATION HOSPITAL","","","Hospital","Private","","","531 COMMONWEALTH AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","MATANDANG BALARA","137404066","","+63 0289328867","+63 0289328517","","gen.malvarhospital@yahoo.com","","","MALVAR","POTENCIANO","R.","Medical Director","With License","Level 1","46"
"DOH000000000000572","572","HOSPITAL OF THE INFANT JESUS MEDICAL CENTER","CHILD CARE, INC.","","","Hospital","Private","","","1556 LAON-LAAN ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SAMPALOC","133906000","","","1008","+63 027312771","+63 023054344","+63 023054350","admin@hijmc.com","hij_recordssections652@yahoo.com","","CAISIP","PURA","RODRIGUEZ","Medical Director","With License","Level 3","140"
"DOH000000000000586","586","JOSE R. REYES MEMORIAL MEDICAL CENTER","","","","Hospital","Government","Department Of Health","","SAN LAZARO COMPOUND, RIZAL AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SANTA CRUZ","133905000","BARANGAY 311","133905013","1003","+63 027119491","+63 027119498","+63 027321077","josereyesmedical@yahoo.com","jrrmmc_ccs@yahoo.com.ph","","MONTAÑA","EMMANUEL, JR.","F.","Chief of Hospital","With License","Level 3","450"
"DOH000000000000600","600","KC CALDERON HOSPITAL"," "," "," ","Hospital","Private"," "," "," "," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF VALENZUELA","137504000","HEN. T. DE LEON","137504011"," ","+63 022913721"," ","+63 024446468"," "," "," ","CALDERON","DR. KENNETH","C.","Chief of Hospital","Without License","",""
"DOH000000000000608","608","LADY OF LOURDES HOSPITAL OF CAYBIGA, INC.","","","","Infirmary","Private","","","15 GENERAL LUIS STREET CAYBIGA","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CALOOCAN CITY","137501000","BARANGAY 166","137501166","","+63 029835582","+63 029841413","+63 029841409","ladyoflourdescollege@gmail.com","","","MAURICIO","ERLINDA","B.","Medical Director","With License","","12"
"DOH000000000000614","614","LAS PIÑAS DOCTORS HOSPITAL, INC.","","","","Hospital","Private","","","8009 J.I. AGUILAR AVENUE, CAA ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","PULANG LUPA DOS","137601016","","+63 028297715","+63 026369414","+63 028297715","lpdhinc@yahoo.com","jilianchan74@yahoo.com","","SUAVERDEZ","MELDA","S.","Medical Director","With License","Level 3","130"
"DOH000000000000615","615","LAS PIÑAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER","LAS PINAS INTEGRATED DISTRICT HOSPITAL","","","Hospital","Government","Department Of Health","","BERNABE COMPOUND","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","PULANG LUPA UNO","137601007","","+63 0288720509","+63 0288730556","+63 028730557","lpghstc@gmail.com","","","HAO","RODRIGO","H.","Chief of Hospital","With License","Level 2","200"
"DOH000000000000637","637","MAKATI MEDICAL CENTER","","","","Hospital","Private","","","2 AMORSOLO STREET, LEGASPI VILLAGE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MAKATI","137602000","SAN LORENZO","137602025","","+63 0288888999","+63 0288400737","+63 0288925593","QualityManagementDivision@makatimed.net","Medical.Director@makati.net.ph","www.makatimed.net.ph","SINON","JOHNNY","B.","Chief of Hospital","With License","Level 3","600"
"DOH000000000000648","648","MARIKINA VALLEY MEDICAL CENTER","","","","Hospital","Private","","","SUMULONG HIGHWAY, COR. AGUINALDO STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF MARIKINA","137402000","SANTO NIÑO","137402010","","+63 0286822222","+63 0286813398","+63 026823399","marikina_vmc@yahoo.com","info@mvmc.com.ph","","JULIAN","JOEL","G.","Medical Director","With License","Level 2","110"
"DOH000000000000650","650","MARY CHILES GENERAL HOSPITAL, INC.","","","","Hospital","Private","","","667 GASTAMBIDE STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SAMPALOC","133906000","BARANGAY 404","133906010","1008","+63 0287355341","","+63 027355437","mcghcoor_21@yahoo.com","","","FLORENDO","ROLANDO","A.","Medical Director","With License","Level 3","100"
"DOH000000000000654","654","MCPC ST. THERESE OF LISIEUX DOCTORS HOSPITAL","","","","Hospital","Private","","","C. RAYMUNDO AVENUE","ARMAL BUILDING","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","MAYBUNGA","137403012","","+63 0288143577","+63 0285358046","","stdocs@yahoo.com","","","SANCHEZ","JOSE CHRISTOPHER","G.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000655","655","MEDICAL CENTER MANILA INC.","MEDICAL CENTER MANILA","","","Hospital","Private","","","850 UNITED NATIONS AVE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","ERMITA","133908000","","","1000","+63 0285238131","+63 0285223799","+63 025243440","directors_office@manilamed.com.ph","mcm_directorsoffice@yahoo.com","","PADILLA-CAMPOS","SUSANA","P.","Medical Director","With License","Level 3","200"
"DOH000000000000656","656","MEDICAL CENTER PARAÑAQUE, INC.","","","","Hospital","Private","","","DR. A. SANTOS AVENUE, SUCAT","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","SAN ANTONIO","137604012","","+63 028256911","","+63 028262121","merza_lapat@yahoo.com","mcpi.directorsoffice@gmail.com","","QUIROLGICO","ELOISA","LIRIO","Medical Director","With License","Level 1","56"
"DOH000000000000662","662","METRO PSYCH FACILITY"," "," "," ","Hospital","Private"," "," ","520 DR. SIXTO AVENUE"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","MAYBUNGA","137403012"," ","+63 026436006"," ","+63 026436056","metropsychiatry@yahoo.com.ph"," "," ","FLORES","DR. FAREDA FATIMA","A.","Chief of Hospital","Without License","",""
"DOH000000000000690","690","FOUNDATION OF OUR LADY OF PEACE MISSION, INC.-OUR LADY OF PEACE HOSPITAL","OUR LADY OF PEACE HOSPITAL","","","Hospital","Private","","","COSTAL ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","SAN DIONISIO","137604004","","+63 0288295775","+63 0288295720","+63 028257714","olph_pc@yahoo.com","olph2002@gmail.com","","MAAMO","EVA","FIDELA","Medical Director","With License","Level 1","90"
"DOH000000000000693","693","PAGAMUTANG BAYAN NG MALABON","","","","Birthing Home","Government","Local Government Unit","","MAYA-MAYA STREET CORNER DAGAT-DAGATAN AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF MALABON","137502000","LONGOS","137502010","1470","+63 023727710","","","pagamutangbayanngmalabon1989@gmail.com","","","ROMERO","ROBERTO","RODRIGUEZ","City Health Officer","With License","","12"
"DOH000000000000698","698","UHBI-PARAÑAQUE DOCTORS HOSPITAL, INC.","PARANAQUE DOCTOR'S HOSPITAL","","","Hospital","Private","","","175 DOÑA SOLEDAD AVENUE BETTER LIVING SUBDIVISION","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","DON BOSCO","137604008","","+63 028281340","+63 027760644","+63 027760644","parañaquedoctors@yahoo.com.ph","","","ZOZOBRADO","AGUSTIN","A.","Medical Director","With License","Level 2","94"
"DOH000000000000699","699","PASAY CITY GENERAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","P. BURGOS STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","PASAY CITY","137605000","BARANGAY  60","137605060","1304","+63 028336022","+63 028313285","+63 025513735","pcgh.coh@gmail.com","","","LUPISAN-OCAMPO","MARILOU","B.","Chief of Hospital","With License","Level 3","150"
"DOH000000000000700","700","PASIG CITY GENERAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","M. EUSEBIO AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","MAYBUNGA","137403012","","+63 022737981","+63 026433333","+63 026427380","pasigcitygen@yahoo.com.ph","","www.pasigcitygen.org","CASTRO","PAULO ROMAN, JR.","A.","Chief of Hospital","With License","Level 3","200"
"DOH000000000000701","701","CENTER FOR DIALYSIS, HEALTHY LIFESTYLE, AMBULLATORY SURGERY, MATERNITY CLINIC AND NEWBORN CARE OF PASIG CITY (CHAMP)","Pasig City Lying In"," "," ","Rural Health Unit","Government","Local Government Unit"," ","CARUNCHO AVENUE"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","SAN NICOLAS (POB.)","137403023"," "," "," "," "," "," "," ","GALUTERA","DR. GEORGIANA","S.","City Health Officer","","",""
"DOH000000000000702","702","PASOLO MATERNITY AND MEDICAL CLINIC, INC."," "," "," ","Hospital","Private"," "," ","152 PASOLO ROAD"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF VALENZUELA","137504000","PASOLO","137504024"," ","+63 022922753"," ","+63 024402007"," "," "," ","SANTIAGO","DR. ROEL","A.","Chief of Hospital","Without License","",""
"DOH000000000000710","710","PERPETUAL HELP HOSPITAL"," "," "," ","Hospital","Private"," "," ","1504 LAON-LAAN STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SAMPALOC","133906000","BARANGAY 470","133906076","1008","+63 027318177"," ","+63 027318144"," "," "," ","SUPNET","RAUL","C.","Medical Director","Without License","",""
"DOH000000000000711","711","PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC.","","","","Hospital","Private","","","836 FLORENTINO CAYCO STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SAMPALOC","133906000","BARANGAY 457","133906063","1008","+63 0287311631","+63 0287311632","+63 0287311633","perpetual.succor@yahoo.com","","","ATILANO","ALBERTO","A.","Medical Director","With License","Level 1","65"
"DOH000000000000713","713","PHILIPPINE CHILDREN'S MEDICAL CENTER","","","","Hospital","Government","Department Of Health","","QUEZON AVENUE CORNER AGHAM ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","BAGONG PAG-ASA","137404009","","+63 029246601","+63 025889900","+63 029240887","officeofthedirector@pcmc.gov.ph","hiss@pcmc.gov.ph","","LECCIONES","JULIUS","A.","Medical Director","With License","Level 3","200"
